Mean Distance,Time (ns)
31.002711232599154,15.899999999999999
31.697954250860978,15.975
30.710531864469992,16.05
31.347552773057252,16.125
31.14478320025991,16.2
31.28112174943376,16.275
31.020308740922268,16.349999999999998
31.63202916751295,16.425
31.342812532046263,16.5
31.430688441179974,16.575
30.627437577391873,16.65
30.98202175592959,16.724999999999998
31.2968334012624,16.8
30.99114381827889,16.875
30.930531958960636,16.95
31.02729522692951,17.025
30.735352375768652,17.099999999999998
30.814648139501287,17.175
30.808471056274886,17.25
30.887727648911117,17.325
30.62167951364623,17.4
30.53794115007006,17.474999999999998
30.50475919381242,17.55
31.050650860059744,17.625
30.7061956666346,17.7
31.155498835951192,17.775
30.600546101140942,17.849999999999998
31.220213540386574,17.925
30.916832580334358,18.0
30.811654494212924,18.075
30.9591339786991,18.15
31.052275476764574,18.224999999999998
